time_num,total_objs,dist,area
1,1,8.062257748,64
2,2,7.615773106,55
2,2,-3.16227766,24
3,2,7.280109889,63
3,2,-2.236067977,29
4,2,5.099019514,57
4,2,-3,33
5,2,6.32455532,57
5,2,-4.472135955,38
6,2,7.071067812,71
6,2,-3.16227766,44
7,2,6.32455532,63
7,2,-4.242640687,50
8,2,5.099019514,71
8,2,-5.385164807,57
9,1,5.099019514,71
10,2,5.830951895,57
10,2,-2.828427125,16
11,2,6.32455532,55
11,2,-3.16227766,29
12,3,14.56021978,51
12,3,5.099019514,71
12,3,-3.16227766,29
13,3,15.5241747,51
13,3,5.385164807,71
13,3,-5,38
14,3,15.29705854,51
14,3,5.385164807,63
14,3,-4.472135955,39
15,3,15.29705854,51
15,3,6.08276253,63
15,3,-4.472135955,44
16,3,15.5241747,63
16,3,5.830951895,78
16,3,-5.830951895,44
17,3,15.5241747,71
17,3,5.830951895,78
17,3,-5.830951895,51
18,3,16.2788206,64
18,3,6.08276253,70
18,3,-1.414213562,24
19,3,17.4642492,64
19,3,7.615773106,78
19,3,-2.236067977,29
20,2,5.385164807,63
20,2,-4.472135955,38
21,2,5.385164807,63
21,2,-5.385164807,44
22,2,6.32455532,57
22,2,-4.472135955,44
23,2,6.708203932,71
23,2,-5,50
24,2,6.708203932,71
24,2,-5.830951895,57
25,2,7.615773106,64
25,2,-5.830951895,50
26,2,7.280109889,64
26,2,-2.236067977,24
27,3,15.5241747,50
27,3,5.385164807,71
27,3,-4.472135955,38
28,3,17.4642492,57
28,3,7.615773106,78
28,3,-4.242640687,44
29,3,15.8113883,57
29,3,6.708203932,78
29,3,-6.403124237,44
30,3,16.76305461,57
30,3,6.708203932,79
30,3,-5.830951895,57
31,3,16.4924225,57
31,3,5.385164807,79
31,3,-7.280109889,71
32,2,7.615773106,79
32,2,-5.830951895,57
33,2,6.32455532,63
33,2,-2.236067977,29
34,2,6.32455532,57
34,2,-3.16227766,38
35,2,7.211102551,63
35,2,-5.830951895,50
36,2,6.32455532,70
36,2,-4.472135955,50
37,2,8.544003745,78
37,2,-4.242640687,57
38,2,6.32455532,71
38,2,-6.08276253,63
39,2,6.32455532,64
39,2,-5.099019514,50
40,2,5.099019514,63
40,2,-3.16227766,33
41,2,7.615773106,57
41,2,-2.828427125,38
42,2,5.099019514,63
42,2,-4.123105626,44
43,2,5.385164807,63
43,2,-5.830951895,50
44,2,6.32455532,71
44,2,-4.472135955,57
45,2,5.099019514,71
45,2,-6.08276253,63
46,2,7.280109889,71
46,2,-6.708203932,71
47,2,6.08276253,55
47,2,-2.236067977,29
48,2,7.280109889,55
48,2,-2.828427125,29
49,2,4.123105626,57
49,2,-5.099019514,44
50,2,5.830951895,63
50,2,-5.830951895,50
51,2,5.099019514,71
51,2,-5.099019514,50
52,2,6.32455532,78
52,2,-6.08276253,63
53,2,5.099019514,87
53,2,-6.08276253,63
54,2,6.32455532,57
54,2,-2.828427125,29
55,2,6.08276253,63
55,2,-2.236067977,33
56,2,8.544003745,63
56,2,-2.236067977,38
57,2,5.385164807,63
57,2,-4.472135955,44
58,2,8.544003745,71
58,2,-5,50
59,2,6.32455532,71
59,2,-5.385164807,78
60,1,6.32455532,79
61,1,9.219544457,79
62,2,5.385164807,70
62,2,-3.16227766,33
63,2,6,63
63,2,-3,44
64,2,6.32455532,63
64,2,-3.605551275,50
65,2,6.32455532,70
65,2,-5.099019514,57
66,2,6.08276253,71
66,2,-6.08276253,63
67,2,6.08276253,71
67,2,-7.280109889,85
68,1,7.615773106,78
69,1,5.385164807,87
70,2,7.280109889,70
70,2,-2.236067977,28
71,2,6.32455532,63
71,2,-4.123105626,38
72,2,6.32455532,70
72,2,-4.472135955,57
73,2,6.32455532,70
73,2,-6.708203932,55
74,2,5.830951895,87
74,2,-6.708203932,70
75,2,6.32455532,71
75,2,-6.32455532,78
76,2,6.08276253,79
76,2,-6.32455532,78
77,2,6.708203932,63
77,2,-2.828427125,29
78,2,7.071067812,70
78,2,-3,38
79,2,6.32455532,70
79,2,-4.472135955,50
80,2,8.062257748,87
80,2,-5,55
81,2,7.615773106,78
81,2,-5.385164807,70
82,2,7,78
82,2,-5,63
83,2,7.280109889,78
83,2,-7.071067812,85
84,1,7.280109889,78
85,2,7.071067812,78
85,2,-1,24
86,2,7.615773106,70
86,2,-2.828427125,44
87,2,7.615773106,70
87,2,-3.605551275,43
88,2,7.615773106,78
88,2,-5.830951895,55
89,2,6.32455532,78
89,2,-6.08276253,70
90,2,7.280109889,78
90,2,-7.071067812,85
91,2,7.280109889,87
91,2,-5.385164807,78
92,2,7.280109889,71
92,2,-6.32455532,50
93,3,18.02775638,71
93,3,7.280109889,95
93,3,-2.828427125,29
94,3,17.4642492,71
94,3,6.32455532,96
94,3,-4.472135955,38
95,2,7.280109889,78
95,2,-4.472135955,50
96,2,7,87
96,2,-5,63
97,2,7.280109889,96
97,2,-4.123105626,70
98,2,7.280109889,87
98,2,-5.385164807,70
99,2,6.32455532,87
99,2,-6.32455532,70
100,2,6.08276253,78
100,2,-8,63
101,2,7.280109889,87
101,2,-2.828427125,28
102,2,6.708203932,78
102,2,-4.472135955,43
103,2,6.32455532,95
103,2,-6.708203932,55
104,2,7.071067812,87
104,2,-5.099019514,63
105,2,9.219544457,87
105,2,-3.16227766,70
106,2,9.486832981,87
106,2,-5.385164807,63
107,2,7.615773106,87
107,2,-7.615773106,50
108,2,8.246211251,78
108,2,-2.236067977,33
109,2,8.544003745,78
109,2,-2.828427125,43
110,2,8.246211251,96
110,2,-3.605551275,50
111,2,7,104
111,2,-4.472135955,50
112,2,8.062257748,87
112,2,-5.099019514,76
113,1,8.246211251,104
114,2,7.280109889,79
114,2,-2.828427125,28
115,2,7.615773106,87
115,2,-3.605551275,44
116,2,7.615773106,87
116,2,-4.242640687,50
117,2,6.32455532,87
117,2,-5.385164807,50
118,2,8.544003745,96
118,2,-4.472135955,63
119,2,8.544003745,96
119,2,-5.830951895,78
120,2,7.615773106,96
120,2,-6.32455532,71
121,2,6.708203932,96
121,2,-7.280109889,66
122,2,8.246211251,87
122,2,-2.236067977,38
123,2,7.280109889,78
123,2,-4.123105626,50
124,2,8.246211251,96
124,2,-4.472135955,57
125,2,7.280109889,95
125,2,-5.385164807,63
126,2,8.544003745,87
126,2,-5.385164807,70
127,2,7.280109889,104
127,2,-7.615773106,85
128,1,8.246211251,104
129,2,8.246211251,85
129,2,-2.828427125,44
130,2,8.246211251,87
130,2,-3.605551275,44
131,2,6.08276253,87
131,2,-5.099019514,50
132,2,8.246211251,95
132,2,-4.242640687,50
133,2,8.062257748,104
133,2,-5.099019514,63
134,2,7.280109889,104
134,2,-5.385164807,70
135,1,8.246211251,96
136,2,9.848857802,96
136,2,2.236067977,29
137,2,10.19803903,85
137,2,-2.236067977,38
138,2,7.615773106,95
138,2,-5,55
139,2,7.280109889,96
139,2,-5.385164807,55
140,2,8.246211251,95
140,2,-5,70
141,2,8.246211251,104
141,2,-6.708203932,85
142,1,9.219544457,104
143,2,8.062257748,95
143,2,-1,20
144,2,9.219544457,96
144,2,-1.414213562,44
145,2,8.062257748,87
145,2,-2.236067977,43
146,2,6.32455532,87
146,2,-5.385164807,63
147,2,8.246211251,96
147,2,-3.605551275,61
148,2,7.615773106,87
148,2,-5.385164807,70
149,1,9.219544457,96
150,1,8.062257748,87
151,2,9.055385138,95
151,2,-1,39
152,2,8.246211251,87
152,2,-2.236067977,33
153,2,7.615773106,87
153,2,-4.472135955,50
154,2,8.246211251,96
154,2,-4.123105626,63
155,2,8.246211251,96
155,2,-5.385164807,61
156,1,8.246211251,96
157,1,9.055385138,95
158,2,9.055385138,104
158,2,0,29
159,2,7.280109889,95
159,2,-3.605551275,38
160,2,9.219544457,78
160,2,-2.828427125,43
161,2,7,95
161,2,-5,50
162,2,7.071067812,104
162,2,-5,63
163,2,8.246211251,104
163,2,-5.385164807,70
164,2,8.246211251,104
164,2,-7.280109889,82
165,1,9.219544457,104
166,2,8.062257748,95
166,2,-2,38
167,2,9.219544457,104
167,2,-2.236067977,38
168,2,8.062257748,104
168,2,-4.472135955,50
169,2,7.071067812,87
169,2,-5.385164807,55
170,2,8.062257748,104
170,2,-5.099019514,63
171,1,9.055385138,114
172,1,9,104
173,2,9.055385138,104
173,2,-2,28
174,2,9.219544457,104
174,2,-1,29
175,2,9.219544457,96
175,2,-2.236067977,50
176,2,8.544003745,95
176,2,-4.242640687,55
177,2,7.071067812,87
177,2,-5.099019514,55
178,2,9.486832981,104
178,2,-5,70
179,2,9,96
179,2,-6.08276253,85
180,1,9.219544457,104
181,1,8.062257748,114
182,2,8.246211251,114
182,2,-2.236067977,24
183,2,9.055385138,104
183,2,-2.236067977,38
184,3,9.055385138,104
184,3,-2.828427125,50
184,3,17.4642492,29
185,2,9.055385138,96
185,2,-4,63
186,2,8.246211251,96
186,2,-5,63
187,2,8.544003745,104
187,2,-5.385164807,78
188,1,10.04987562,104
189,1,11.04536102,113
190,2,11,123
190,2,3,28
191,2,12.16552506,121
191,2,2.236067977,29
192,2,15.13274595,104
192,2,4.123105626,51
193,2,17.11724277,133
193,2,6.08276253,63
194,2,18.11077028,143
194,2,6.708203932,87
195,2,18.24828759,154
195,2,6.708203932,87
196,2,18.43908891,165
196,2,5.385164807,87
197,2,19,154
197,2,6.08276253,87
198,1,6.32455532,64
199,1,5.099019514,64
200,2,5.099019514,57
200,2,13.03840481,29
201,2,14.56021978,44
201,2,4.472135955,63
202,0,0,0
203,1,7.280109889,61
204,2,18.43908891,64
204,2,5.099019514,79
205,2,17.08800749,71
205,2,6.403124237,71
206,2,18.43908891,79
206,2,7.280109889,87
207,2,17.4642492,64
207,2,5.099019514,79
208,2,15.5241747,79
208,2,4.472135955,71
209,3,15.29705854,79
209,3,3.605551275,79
209,3,12.16552506,20
210,2,5.385164807,57
210,2,14.14213562,33
211,1,6.32455532,63
212,2,4.472135955,71
212,2,15.13274595,57
213,2,5.099019514,79
213,2,16.03121954,64
214,2,6.08276253,71
214,2,18.11077028,63
215,2,17.72004515,64
215,2,5.099019514,79
216,2,20.39607805,64
216,2,7.071067812,63
217,3,17.72004515,71
217,3,5.385164807,64
217,3,12.04159458,24
218,3,17.4642492,63
218,3,6.08276253,71
218,3,13.34166406,29
219,2,16.4924225,50
219,2,5.099019514,79
220,2,17.11724277,51
220,2,6.08276253,71
221,2,18.43908891,57
221,2,6.708203932,78
222,2,17.2626765,51
222,2,6.08276253,87
223,2,18.68154169,57
223,2,7.615773106,71
224,2,17.4642492,57
224,2,6.08276253,87
225,2,18.68154169,64
225,2,6.708203932,78
226,2,6.08276253,71
226,2,14.31782106,29
227,2,6.08276253,79
227,2,14.14213562,29
228,2,4.472135955,71
228,2,13.03840481,38
229,2,5.830951895,71
229,2,16.03121954,57
230,2,6.08276253,87
230,2,17.11724277,57
231,2,6.32455532,79
231,2,18.02775638,57
232,2,5.385164807,79
232,2,16.03121954,57
233,2,6.32455532,79
233,2,17.02938637,57
234,2,6.32455532,96
234,2,16,63
235,2,6.08276253,96
235,2,16.1245155,71
236,2,6.32455532,87
236,2,18,64
237,2,18.68154169,78
237,2,6.708203932,79
238,2,18.43908891,87
238,2,7.071067812,87
239,2,18.43908891,87
239,2,6.32455532,87
240,2,18.02775638,87
240,2,5.830951895,79
241,2,5.385164807,78
241,2,13.15294644,29
242,2,6.32455532,71
242,2,15.13274595,33
243,2,6.32455532,71
243,2,15.13274595,44
244,2,6.32455532,78
244,2,15.03329638,44
245,2,6.32455532,87
245,2,16.03121954,44
246,2,18.24828759,57
246,2,6.32455532,78
247,1,5.385164807,79
248,1,6,87
249,2,35.4682957,52
249,2,6.708203932,71
250,3,33.83784863,52
250,3,6.08276253,78
250,3,13.34166406,20
251,2,10.29563014,71
251,2,16,29
252,2,6.32455532,71
252,2,14.14213562,39
253,3,33.01514804,22
253,3,6.08276253,78
253,3,15.29705854,39
254,2,8.062257748,87
254,2,16.1245155,44
255,2,6.08276253,87
255,2,15.03329638,50
256,2,7.280109889,87
256,2,16,44
257,3,33.60059523,59
257,3,6.08276253,79
257,3,14.03566885,44
258,3,33.60059523,71
258,3,6.32455532,87
258,3,15.03329638,44
259,3,33.60059523,48
259,3,6.08276253,87
259,3,15.13274595,39
260,3,33.60059523,67
260,3,7.280109889,96
260,3,16.1245155,44
261,2,6.32455532,87
261,2,16.03121954,44
262,1,7.280109889,87
263,1,6.08276253,104
264,1,7.280109889,95
265,1,7.071067812,87
266,3,33.60059523,55
266,3,7.071067812,87
266,3,14.31782106,29
267,3,33.60059523,63
267,3,6.32455532,79
267,3,15.03329638,39
268,3,34.20526275,55
268,3,6.32455532,78
268,3,15.03329638,44
269,2,7.280109889,79
269,2,16.03121954,39
270,2,5.385164807,87
270,2,14.03566885,44
271,2,8.062257748,79
271,2,18.02775638,50
272,1,6.08276253,87
273,1,7.280109889,87
274,1,9.486832981,95
275,1,6.08276253,95
276,1,7.071067812,87
277,1,7.280109889,87
278,1,6.32455532,96
279,1,5.385164807,104
280,1,6.32455532,96
281,1,6.32455532,104
282,1,8.246211251,96
283,1,7.280109889,96
284,1,7.280109889,87
285,1,8.246211251,87
286,1,7.071067812,87
287,1,8.062257748,87
288,1,8.062257748,87
289,1,7.071067812,95
290,1,8.062257748,87
291,1,9.219544457,78
292,1,8,114
293,1,7.280109889,95
294,1,7.071067812,95
295,1,7.071067812,95
296,1,8.246211251,96
297,1,7.071067812,104
298,1,8.062257748,104
299,1,7.280109889,95
300,1,8.94427191,113
301,1,8.062257748,104
302,1,8.062257748,95
303,1,8.062257748,95
304,1,8.062257748,113
305,1,8,104
306,1,8.062257748,96
307,1,6.32455532,104
308,1,9.219544457,113
309,1,8.062257748,113
310,2,7.280109889,104
310,2,16.1245155,24
311,2,9.219544457,123
311,2,18.24828759,28
312,1,9.219544457,103
313,1,8.246211251,123
314,2,8.246211251,113
314,2,18.24828759,43
315,2,7.071067812,123
315,2,17.11724277,44
316,2,8.062257748,123
316,2,18.02775638,44
317,2,7.071067812,113
317,2,18.11077028,50
318,2,9.219544457,113
318,2,18.11077028,44
319,2,9.055385138,95
319,2,20.39607805,57
320,2,9.219544457,114
320,2,20.39607805,57
321,2,8.246211251,113
321,2,19.23538406,50
322,2,7.071067812,114
322,2,18.43908891,63
323,2,8.062257748,113
323,2,20.61552813,57
324,2,8.062257748,113
324,2,19.6468827,63
325,2,7.071067812,104
325,2,18.68154169,63
326,2,7.071067812,114
326,2,19.41648784,57
327,2,9.055385138,123
327,2,20.39607805,57
328,2,8.246211251,113
328,2,19.41648784,57
329,2,7.071067812,123
329,2,19.6468827,63
330,2,7,114
330,2,19.6468827,63
331,2,8.062257748,123
331,2,20.39607805,57
332,2,8,123
332,2,19.6468827,63
333,2,9.055385138,123
333,2,20.61552813,71
334,2,8,123
334,2,19.92485885,63
335,2,9,114
335,2,20.61552813,71
336,2,8.062257748,123
336,2,19.6468827,57
337,2,8.062257748,123
337,2,19.6468827,71
338,2,8.062257748,123
338,2,20.61552813,57
339,2,9,114
339,2,20.61552813,71
340,2,8.062257748,123
340,2,20.61552813,57
341,2,8.062257748,123
341,2,20.61552813,57
342,2,8.062257748,132
342,2,20.61552813,71
343,2,9.219544457,133
343,2,20.61552813,71
344,2,9.219544457,133
344,2,20.61552813,63
345,2,8,123
345,2,19.92485885,71
346,2,8,132
346,2,20.88061302,71
347,2,8.062257748,123
347,2,19.6468827,71
348,2,8.062257748,123
348,2,19.6468827,71
349,2,8.062257748,143
349,2,20.61552813,71
350,2,9.055385138,123
350,2,20.61552813,71
351,2,9.055385138,123
351,2,20.61552813,71
352,2,9.055385138,123
352,2,20.61552813,79
353,2,9,143
353,2,21.84032967,71
354,2,9.055385138,133
354,2,20.88061302,71
355,2,9,123
355,2,20.88061302,71
356,2,20.88061302,71
357,2,20.88061302,71
357,1,8.062257748,95
358,1,9.055385138,71
359,2,8.062257748,87
359,2,4,29
360,2,4,29
361,2,4,29
361,1,5,24
362,1,5.099019514,20
363,1,5,24
364,1,9,104
365,1,5,24
366,2,10.04987562,104
366,2,5,29
367,2,8.062257748,96
367,2,5.099019514,24
368,1,8.062257748,114
369,1,4,29
370,1,4,29
371,1,4,29
371,1,10.04987562,113
372,1,8,96
373,1,8,114
374,1,8.062257748,104
375,1,9.055385138,96
376,1,10.04987562,104
377,1,8,123
378,1,9,123
379,1,8.062257748,104
380,1,8.062257748,114
381,1,9,114
382,2,8.062257748,103
382,2,2.828427125,16
383,1,9.055385138,96
384,1,8.062257748,114
385,1,10.19803903,123
386,1,8,114
387,1,8,123
388,1,8.062257748,113
389,1,9.219544457,113
390,1,9.055385138,113
391,1,8,114
