trap_num,Time,X,Y,Area
10,1,29,29,50
10,2,29,39,39
10,2,30,30,51
10,3,29,30,57
10,3,29,39,44
10,4,28,30,57
10,4,29,40,51
10,5,29,39,64
10,5,30,28,64
10,6,30,29,64
10,6,30,40,57
10,7,30,40,71
10,7,29,29,57
10,8,31,41,79
10,8,30,29,57
10,9,29,29,50
10,10,30,29,50
10,10,29,38,39
10,11,29,38,44
10,11,30,29,57
10,12,29,29,57
10,12,29,40,51
10,13,29,40,57
10,13,30,30,63
10,14,29,40,71
10,14,30,29,63
10,15,30,29,71
10,15,29,39,64
10,16,30,29,64
10,16,31,40,71
10,17,30,29,50
10,17,29,37,19
10,18,30,30,57
10,18,30,38,39
10,19,29,29,57
10,19,29,39,57
10,20,30,30,57
10,20,30,40,51
10,21,29,39,71
10,21,29,28,64
10,22,29,28,71
10,22,29,39,64
10,23,30,28,78
10,23,29,39,64
10,24,31,29,63
10,24,31,41,63
10,25,29,29,50
10,25,29,37,24
10,26,30,28,55
10,26,30,37,39
10,27,29,29,63
10,27,29,39,51
10,28,29,29,57
10,28,30,39,57
10,29,29,29,63
10,29,29,39,63
10,30,29,28,71
10,30,29,39,71
10,31,29,28,71
10,31,29,39,87
10,32,30,29,78
10,32,30,40,71
10,33,29,29,57
10,33,30,39,70
10,34,30,29,55
10,34,29,39,44
10,35,30,29,63
10,35,29,39,57
10,36,29,39,64
10,36,30,29,63
10,37,29,29,63
10,37,28,40,71
10,38,29,41,79
10,38,30,29,71
10,39,29,40,87
10,39,29,29,71
10,40,29,40,87
10,40,30,28,71
10,41,29,30,63
10,41,29,42,71
10,42,30,28,50
10,42,30,37,33
10,43,29,29,63
10,43,28,38,39
10,44,29,29,63
10,44,29,40,57
10,45,30,29,63
10,45,30,40,51
10,46,29,28,63
10,46,29,39,71
10,47,28,40,71
10,47,29,29,71
10,48,29,30,63
10,48,29,42,78
10,49,29,28,50
10,49,29,36,19
10,50,29,29,57
10,50,29,38,39
10,51,29,29,71
10,51,29,39,57
10,52,29,40,71
10,52,30,29,63
10,53,29,41,71
10,53,30,29,63
10,54,29,28,71
10,54,29,41,71
10,55,30,28,71
10,55,30,40,71
10,56,28,29,79
10,56,29,40,87
10,57,30,28,63
10,57,31,40,63
10,57,30,37,29
10,58,28,28,78
10,58,28,39,44
10,59,29,28,64
10,59,29,38,44
10,60,29,28,63
10,60,29,38,57
10,61,29,28,71
10,61,29,39,57
10,62,29,27,64
10,62,29,39,57
10,63,29,28,79
10,63,28,39,71
10,64,29,28,79
10,64,29,40,71
10,65,29,29,57
10,65,31,40,70
10,66,30,29,57
10,66,30,37,39
10,67,28,28,64
10,67,28,39,44
10,68,30,27,71
10,68,29,39,51
10,69,30,29,79
10,69,30,39,57
10,70,28,27,71
10,70,29,39,64
10,71,29,28,79
10,71,28,39,64
10,72,29,28,79
10,72,29,40,71
10,73,29,28,78
10,74,30,28,71
10,74,30,36,33
10,75,29,27,71
10,75,29,38,44
10,76,29,28,71
10,76,29,39,51
10,77,31,28,78
10,77,30,40,71
10,78,30,28,79
10,78,29,40,71
10,79,29,27,79
10,79,28,40,71
10,80,29,27,87
10,80,29,40,85
10,81,30,27,96
10,81,31,40,95
10,82,29,28,79
10,82,31,41,87
10,83,29,27,71
10,83,29,36,24
10,84,28,28,87
10,84,29,38,44
10,85,30,27,79
10,85,29,38,44
10,86,30,27,71
10,86,30,39,57
10,87,30,28,79
10,87,30,40,71
10,88,29,28,79
10,88,29,40,71
10,89,30,27,87
10,89,30,39,87
10,90,29,27,96
10,90,29,41,95
10,91,30,27,87
10,91,30,41,95
10,92,29,28,79
10,93,29,27,79
10,93,29,36,38
10,94,29,27,79
10,94,29,36,44
10,95,29,27,71
10,95,29,38,44
10,96,29,28,79
10,96,29,39,51
10,97,29,27,79
10,97,29,39,51
10,98,28,28,71
10,98,29,40,51
10,99,29,27,79
10,99,29,39,64
10,100,29,27,96
10,100,29,40,71
10,101,29,27,87
10,101,30,39,87
10,102,30,26,87
10,102,30,40,79
10,103,29,26,79
10,103,30,40,79
10,104,30,27,78
10,104,30,36,39
10,105,29,28,78
10,105,29,38,38
10,106,29,27,78
10,106,28,38,44
10,107,29,27,78
10,107,29,39,63
10,108,29,27,87
10,108,29,40,71
10,109,29,28,87
10,109,29,40,85
10,110,28,27,79
10,110,28,40,85
10,111,29,27,79
10,111,29,40,95
10,112,28,27,87
10,112,29,40,103
10,113,28,27,87
10,113,29,40,85
10,114,29,26,96
10,114,30,40,87
10,115,28,27,87
10,115,30,41,118
10,116,28,27,87
10,116,30,41,121
10,117,30,27,114
10,118,29,26,104
10,119,29,27,104
10,120,29,26,96
10,121,29,26,87
10,121,30,36,33
10,122,28,26,79
10,122,28,38,50
10,123,30,26,96
10,123,30,39,57
10,124,29,25,87
10,124,29,40,63
10,125,29,25,96
10,125,29,40,76
10,126,29,26,96
10,126,29,40,78
10,127,28,25,96
10,127,28,40,92
10,128,29,27,104
10,128,29,40,103
10,129,28,26,104
10,129,28,40,92
10,130,29,26,104
10,130,29,40,103
10,131,27,42,95
10,131,29,27,104
10,132,28,43,95
10,132,30,28,95
10,133,28,26,104
10,133,30,42,85
10,134,24,45,78
10,134,27,43,85
10,134,29,26,96
10,135,29,26,96
10,135,30,35,29
10,136,28,26,96
10,136,29,37,44
10,137,29,26,96
10,137,29,37,50
10,138,30,26,96
10,138,29,38,44
10,139,30,26,104
10,139,29,39,50
10,140,29,25,87
10,140,28,39,50
10,141,29,26,87
10,141,29,41,63
10,142,30,26,95
10,142,30,41,63
10,143,29,26,95
10,143,29,40,70
10,144,29,25,96
10,144,29,41,78
10,145,30,25,87
10,145,29,41,71
10,146,28,25,96
10,146,27,41,85
10,147,27,41,95
10,147,29,26,95
10,148,27,41,95
10,148,29,25,96
10,149,29,25,96
10,149,28,42,85
10,150,29,43,103
10,150,29,27,95
10,151,29,26,104
10,151,30,41,95
10,152,29,41,95
10,152,29,24,103
10,153,29,40,103
10,153,29,24,95
10,154,28,25,104
10,154,28,42,85
10,155,29,25,104
10,155,30,41,95
10,156,29,25,113
10,156,30,42,103
10,157,29,25,121
10,157,29,41,103
10,158,29,25,121
10,158,30,41,110
10,159,29,24,130
10,159,29,40,103
10,160,29,23,110
10,160,29,41,121
10,161,29,25,121
10,161,29,43,99
10,162,30,22,184
10,163,30,21,180
10,164,30,21,170
10,165,29,20,189
10,166,31,19,231
10,167,30,20,231
10,168,29,16,314
10,169,29,16,308
